_RAJ2000,_DEJ2000,HIP,RAhms,DEdms,Vmag,RAICRS,DEICRS,Plx,pmRA,pmDE,e_Plx,B-V,Notes,_RA.icrs,_DE.icrs
deg,deg, , , ,mag,deg,deg,mas,mas/yr,mas/yr,mas,mag, ,deg,deg
--------------,--------------,------,-----------,-----------,-----,------------,------------,-------,--------,--------,------,------,-,------------,------------
000.0050243058,38.85927901,3,00 00 01.20,+38 51 33.4,6.61,000.00500795,38.85928608,2.81,5.24,-2.91,0.63,-0.019, ,000.00502431,38.85927901
000.0533092167,38.30404973,19,00 00 12.80,+38 18 14.7,6.53,000.05331696,38.30408636,4.12,-2.5,-15.07,0.64,0.955, ,000.05330922,38.30404973
000.0795635338,-44.29056147,25,00 00 19.05,-44 17 25.1,6.28,000.07936537,-44.29029741,13.74,58.36,-108.64,0.98,0.763, ,000.07956353,-44.29056147
000.0995847627,26.91810825,34,00 00 23.87,+26 55 05.7,6.43,000.09946973,26.91823821,12.71,42.2,-53.47,0.74,0.514, ,000.09958476,26.91810825
000.1287023299,59.55967936,43,00 00 30.98,+59 33 35.1,6.18,000.12908900,59.55973786,7.63,-80.6,-24.07,0.6,1.032, ,000.12870233,59.55967936
000.1430850464,-53.09771264,50,00 00 34.29,-53 05 51.6,6.49,000.14287059,-53.09766277,16.89,52.98,-20.52,0.8,0.616, ,000.14308505,-53.09771264
000.1818095066,45.25333358,63,00 00 43.62,+45 15 12.0,6.36,000.18174950,45.25333305,4.81,17.38,0.22,0.71,-0.047,P,000.18180951,45.25333358
000.2203287297,66.84801108,73,00 00 52.91,+66 50 52.7,6.9,000.22045719,66.84796687,3.97,-20.78,18.19,0.69,1.446, ,000.22032873,66.84801108
000.2690934424,-48.8098756,88,00 01 04.60,-48 48 35.5,5.71,000.26915958,-48.80985919,5.97,-17.92,-6.75,0.7,0.911, ,000.26909344,-48.8098756
000.3302148739,49.98155781,106,00 01 19.24,+49 58 53.7,6.22,000.33016464,49.98158501,4.5,13.29,-11.19,0.73,0.97, ,000.33021487,49.98155781
000.3338302112,-50.33737333,107,00 01 20.11,-50 20 14.6,5.53,000.33380226,-50.33739907,5.84,7.34,10.59,0.61,1.615, ,000.33383021,-50.33737333
000.3901660249,44.67540116,119,00 01 33.65,+44 40 31.6,6.82,000.39020229,44.67544581,7.49,-10.61,-18.37,0.83,1.071, ,000.39016602,44.67540116
000.3964246310,28.42369128,121,00 01 35.15,+28 25 25.6,6.83,000.39647681,28.42377416,3.66,-18.88,-34.1,0.83,1.197, ,000.39642463,28.42369128
000.3987655417,-77.06572447,122,00 01 35.85,-77 03 55.1,4.78,000.39937928,-77.06529438,14.77,-56.52,-176.95,0.47,1.254, ,000.39876554,-77.06572447
000.4042312331,61.2228008,124,00 01 37.02,+61 13 22.1,5.58,000.40424537,61.22280406,0.86,-2.8,-1.34,0.56,0.407, ,000.40423123,61.2228008
000.4144154784,73.6118466,128,00 01 39.30,+73 36 42.8,6.5,000.41376473,73.61187664,15.2,75.54,-12.36,0.63,0.182, ,000.41441548,73.6118466
000.4234760593,-40.14870204,133,00 01 41.61,-40 08 55.2,6.62,000.42336890,-40.14866597,3.51,33.7,-14.84,0.79,0.545, ,000.42347606,-40.14870204
000.4286915781,24.25311272,136,00 01 42.87,+24 15 11.5,6.6,000.42864226,24.2531808,5.84,18.5,-28.01,0.78,1.153, ,000.42869158,24.25311272
000.4327060603,42.36714391,137,00 01 43.85,+42 22 01.7,6.25,000.43268925,42.36714821,2.45,5.11,-1.77,0.69,-0.042, ,000.43270606,42.36714391
000.4560351217,-3.027503823,145,00 01 49.44,-03 01 38.9,5.13,000.45598912,-3.02747891,7.98,18.9,-10.25,0.71,-0.128, ,000.45603512,-3.02750382
000.4900789996,-6.014072121,154,00 01 57.59,-06 00 50.3,4.37,000.48996506,-6.01397169,7.86,46.62,-41.32,0.94,1.631, ,000.49007900,-6.01407212
000.5109068553,-2.766170765,159,00 02 02.59,-02 45 58.2,6.93,000.51081115,-2.76616306,16.92,39.33,-3.17,0.81,0.292, ,000.51090686,-2.76617076
000.5423132141,27.08225603,171,00 02 09.65,+27 05 04.2,5.8,000.54018776,27.08448905,80.63,778.59,-918.72,3.03,0.69, ,000.54231321,27.08225603
000.5695149635,-13.40743745,179,00 02 16.53,-13 24 27.1,6.9,000.56886229,-13.40751554,14.91,261.21,32.13,0.9,0.534, ,000.56951496,-13.40743745
000.5737724134,60.70316774,181,00 02 17.72,+60 42 11.5,6.77,000.57381667,60.7031946,2.51,-8.91,-11.05,0.64,1.832,P,000.57377241,60.70316774
000.5830027756,-29.72041402,183,00 02 19.91,-29 43 13.6,5.04,000.58297574,-29.72044805,6.4,9.66,14,0.87,-0.15, ,000.58300278,-29.72041402
000.6006957793,8.95682361,186,00 02 24.17,+08 57 24.6,6.33,000.60069792,8.9568336,7.55,-0.87,-4.11,0.82,0.182, ,000.60069578,8.95682361
000.6237594849,8.485463089,194,00 02 29.76,+08 29 08.1,5.7,000.62398938,8.48557854,26.53,-93.55,-47.5,0.77,0.315, ,000.62375948,8.48546309
000.6503624068,66.09896618,207,00 02 36.08,+66 05 56.3,5.87,000.65034249,66.09896341,1.57,3.32,1.14,1.67,1.073, ,000.65036241,66.09896618
000.7395338130,-20.04588213,238,00 02 57.43,-20 02 45.9,6.25,000.73927410,-20.04607402,16.16,100.38,78.95,0.96,0.526, ,000.73953381,-20.04588213
000.7827304540,-24.14514551,253,00 03 07.82,-24 08 42.5,6.46,000.78257245,-24.14513788,6.78,59.32,-3.14,0.88,1.176, ,000.78273045,-24.14514551
000.7847780789,42.74790772,254,00 03 08.32,+42 44 52.5,6.73,000.78466955,42.74791705,5.96,32.79,-3.84,0.76,0.051, ,000.78477808,42.74790772
000.8054770732,17.55226848,258,00 03 13.28,+17 33 08.6,6.59,000.80532807,17.55239698,6.28,58.45,-52.87,0.78,1.122, ,000.80547707,17.55226848
000.8571361594,63.64051986,274,00 03 25.72,+63 38 25.9,6.24,000.85715406,63.64052431,0.93,-3.27,-1.83,0.57,0.332, ,000.85713616,63.64051986
000.8594974927,-36.25119274,277,00 03 26.23,-36 15 04.3,6.96,000.85927886,-36.25120504,15.84,72.54,5.06,0.81,0.353, ,000.85949749,-36.25119274
000.9243515795,48.43690676,297,00 03 41.87,+48 26 12.9,6.8,000.92444478,48.43692667,6.42,-25.44,-8.19,0.75,0.06, ,000.92435158,48.43690676
000.9349576155,-17.33598771,301,00 03 44.37,-17 20 09.5,4.55,000.93488487,-17.33597002,14.31,28.57,-7.28,0.92,-0.047, ,000.93495762,-17.33598771
000.9651623921,66.71218292,302,00 03 51.63,+66 42 43.9,6.31,000.96511407,66.71220273,3.31,7.86,-8.15,0.6,1.629,P,000.96516239,66.71218292
001.0569269456,62.2876637,330,00 04 13.66,+62 17 15.6,5.9,001.05693212,62.2876646,0.89,-0.99,-0.37,0.58,0.274, ,001.05692695,62.2876637
001.0824751745,-16.52903618,343,00 04 19.76,-16 31 44.0,5.78,001.08233885,-16.52888969,11.29,53.77,-60.27,0.92,1.084, ,001.08247517,-16.52903618
001.0846558496,-29.2688217,345,00 04 20.30,-29 16 07.8,6.38,001.08457463,-29.26883006,7.75,29.15,3.44,0.91,0.006, ,001.08465585,-29.2688217
